Question,Label
what is your name?,1
what is your gender?,1
What symptoms have you been experiencing?,1
How long have you felt this way?,1
What is your favorite color?,0
Are you currently taking any medications?,1
Do you prefer coffee or tea?,0
Have you experienced any side effects from your medication?,1
What is your pet's name?,0
Have you noticed any changes in your appetite?,1
When was your last check-up?,1
What is your favorite vacation spot?,0
What brings you in today?,1
Do you ever make up fake scenarios in your head?,1
How long have you been experiencing this issue?,1
Have you ever forgotten why you walked into a room?,0
Have you had any similar problems in the past?,1
Have you ever given a fake name at a restaurant?,0
Do you have any ongoing medical conditions?,1
Do you ever talk to yourself out loud?,0
Are you currently taking any medications?,1
Have you ever locked yourself out of your own house?,0
Do you have any allergies to medications or foods?,1
Do you like the smell of gasoline?,0
Have you had any recent surgeries or hospitalizations?,1
Do you ever read the terms and conditions?,0
Does anyone in your family have similar symptoms?,1
Do you save receipts or just throw them away?,0
Have you been diagnosed with any chronic illnesses?,1
What is the weirdest subscription service you?ve ever signed up for?,0
Are you up to date on your vaccinations?,1
Can you describe your pain?,1
What is your favorite thing to impulse-buy?,0
Where is the pain located?,1
What?s the most expensive meal you?ve ever had?,0
How severe is the pain on a scale of 1 to 10?,1
Do you return gifts you don?t like?,0
Is the pain constant or does it come and go?,1
Have you ever done a cartwheel in public?,0
What makes the pain better or worse?,1
Can you do a pull-up?,0
"Have you noticed any swelling, redness, or warmth in the area?",1
Have you ever fallen off a treadmill?,0
Are your symptoms getting better or worse?,1
Have you ever tried yoga and failed?,0
Do you have any numbness or tingling?,1
What?s the weirdest song stuck in your head right now?,0
Have you experienced any dizziness or lightheadedness?,1
What was the first concert you attended?,0
Have you had any changes in vision or hearing?,1
Do you have any difficulty breathing?,1
What?s your favorite type of cheese?,0
Are you experiencing shortness of breath?,1
Can you eat an entire pizza by yourself?,0
Do you have a persistent cough?,1
Do you prefer cats or dogs?,0
Have you been coughing up blood or mucus?,1
How many cups of coffee can you drink in a day?,0
Do you have any wheezing or chest tightness?,1
How many Instagram followers do you have?,0
Have you had any recent lung infections?,1
Do you have asthma or a history of lung disease?,1
What's your favorite toothpaste flavor?,0
Have you been exposed to smoke or chemicals?,1
Have you ever won a lottery?,0
Do you snore loudly or have trouble sleeping due to breathing issues?,1
Have you ever met a celebrity?,0
Have you noticed any changes in your voice?,1
Have you been experiencing any chest pain or pressure?,1
What's your zodiac sign?,0
Do you have palpitations or a racing heart?,1
What's your favorite TV show?,0
Do you feel faint or dizzy when standing up?,1
Do you believe in ghosts?,0
Have you had any swelling in your legs or ankles?,1
What's your dream vacation spot?,0
Do you have high blood pressure?,1
What's your favorite dinosaur?,0
Have you ever had a heart attack or stroke?,1
"If you could be any kitchen appliance, which one would you be?",0
Do you have a family history of heart disease?,1
How many pigeons do you think you could carry at once?,0
Do you experience shortness of breath when lying down?,1
Have you ever had a staring contest with a cat?,0
Have you noticed any bluish discoloration of your lips or fingertips?,1
How do you feel about wearing socks in the shower?,0
Do you have high cholesterol levels?,1
Do you have any nausea or vomiting?,1
"If you had to choose, would you rather fight 100 duck-sized horses or one horse-sized duck?",0
Have you had any diarrhea or constipation?,1
How many marshmallows can you fit in your mouth?,0
Have you noticed any changes in your stool color or consistency?,1
Have you ever tried to drink soup with a fork?,0
Have you been experiencing any bloating or stomach pain?,1
Do you think cereal is a soup?,0
Have you noticed any blood in your stool?,1
"If spaghetti could talk, what do you think it would say to you?",0
Have you had difficulty swallowing?,1
What is your stance on eating cake with your hands?,0
Do you have frequent heartburn or acid reflux?,1
"If a hot dog is not a sandwich, what is it?",0
Have you had unexplained weight loss or gain?,1
Do you believe in the five-second rule?,0
Have you lost your appetite?,1
What is the weirdest thing you have ever eaten by accident?,0
Do you have any food intolerances?,0
Do you have any pain or burning during urination?,1
"If you could only eat one food for the rest of your life, why would it be pickles?",0
Have you noticed any changes in your urine color or smell?,1
Do you think sneezing is a sign of good luck?,0
Do you urinate more frequently than usual?,1
Can you smell colors?,0
Do you have trouble urinating?,1
Have you ever tried to burp the alphabet?,0
Have you had blood in your urine?,1
Do you believe band-aids have feelings?,0
Do you experience any incontinence or leakage?,1
"If you had a third arm, where would you want it to be?",0
Do you wake up frequently at night to urinate?,1
How do you rate your last sneeze on a scale of 1 to 10?,0
Have you had any kidney stones in the past?,1
Have you ever tried to tickle yourself successfully?,0
Do you feel like your bladder doesn?t empty completely?,1
Do you think your appendix is mad at you for not using it?,0
Have you had any urinary tract infections?,1
Have you been experiencing any headaches?,1
Have you ever accidentally high-fived yourself?,0
Have you had any seizures or convulsions?,1
Do you think your shadow is jealous of you?,0
Do you have any difficulty with memory or concentration?,1
What is your favorite way to travel through time?,0
Have you had any weakness in your arms or legs?,1
How old would you be if you didn't know your age?,0
Have you noticed any loss of sensation in any part of your body?,1
Do you think gravity is overrated?,0
Do you have any trouble with balance or coordination?,1
Would you rather live in the past or the future?,0
Have you had any sudden changes in speech or difficulty speaking?,1
Have you ever counted how many steps it takes to get to my office?,0
Do you have any tremors or involuntary movements?,1
Do you think the Earth could be a pancake in disguise?,0
Have you noticed any changes in your reflexes?,1
"If you could rename the moon, what would you call it?",0
Have you experienced any paralysis?,1
Do you have excessive thirst or urination?,1
Do you think dogs have accents?,0
Have you had any unexplained weight changes?,1
"If you could talk to one animal, why would it be a squirrel?",0
Do you feel excessively hot or cold?,1
Have you ever seen a fish blink?,0
Have you noticed changes in your skin or hair?,1
What is your best impression of a dolphin?,0
Do you feel tired or sluggish frequently?,1
"If an octopus challenged you to a dance battle, would you accept?",0
Have you experienced mood swings or depression?,1
Do you think horses judge us silently?,0
Have you had any changes in your menstrual cycle?,1
Can you name all the species of penguins without looking them up?,0
Have you been diagnosed with diabetes?,1
What is your go-to dance move in an emergency?,0
Have you had any thyroid problems?,1
Have you ever had a dream about a potato?,0
Have you been experiencing excessive hunger?,1
Have you noticed any rashes or skin changes?,1
"If you had to wear one outfit forever, what would it be?",0
Do you have any wounds that aren't healing?,1
Would you rather have spaghetti for hair or waffles for feet?,0
Have you experienced hair loss?,1
"If you could be a fruit, which one would you be?",0
Do you have any itchy or dry skin?,1
Have you had any new moles or skin growths?,1
What symptoms are you experiencing?,1
How long have you had these symptoms?,1
Are you currently taking any medications?,1
Do you have any known allergies?,1
Have you been diagnosed with any chronic conditions?,1
Have you undergone any surgeries in the past?,1
Do you smoke or use tobacco products?,1
Do you consume alcohol regularly?,1
Are you experiencing any pain or discomfort?,1
Have you noticed any changes in your weight recently?,1
